	-10.0	-5.0	0.0	5.0	10.0	15.0	20.0	25.0
-15.0	95.97	100.27	98.26	97.67	95.56	100.35	96.72	99.38
-10.0	99.43	104.52	103.12	100.54	103.13	102.78	94.53	98.27
 -5.0	104.41	104.54	108.75	106.50	102.95	99.27	96.98	98.99
  0.0	103.25	104.28	115.64	113.09	109.95	105.75	100.83	97.90
  5.0	105.49	108.23	116.60	115.34	105.81	101.24	98.81	98.20
 10.0	100.23	107.22	107.61	106.03	106.14	102.13	98.99	99.08
 15.0	102.44	105.41	103.10	105.96	99.14	103.92	96.55	94.84
 20.0	100.28	96.53	96.17	103.23	97.03	96.77	98.45	94.21
 25.0	93.33	101.43	98.59	97.32	97.65	95.49	95.39	92.78
 30.0	97.51	96.17	97.33	93.88	94.97	97.69	96.21	93.70
 35.0	96.55	91.04	95.59	91.17	93.89	92.63	96.68	89.21
 40.0	96.86	97.30	95.84	93.04	93.36	90.80	93.84	90.77
 45.0	93.91	91.62	94.40	90.59	91.85	95.57	93.25	89.09
 50.0	92.23	88.46	89.14	92.34	92.43	90.17	91.54	90.23
 55.0	86.60	89.04	86.72	89.69	92.00	87.13	86.45	90.79
 60.0	85.76	85.89	87.35	90.52	86.22	88.58	90.50	90.96
 65.0	85.61	88.68	88.64	87.93	86.28	90.35	90.38	90.40
 70.0	88.73	85.36	88.04	90.16	91.53	86.48	86.20	90.91
 75.0	90.13	91.04	85.67	85.73	84.17	84.32	88.70	84.95
 80.0	84.52	84.57	91.19	86.76	85.92	85.64	85.95	86.04
 85.0	83.56	82.97	86.36	89.65	90.14	84.72	83.79	89.37
 90.0	87.27	89.89	87.50	89.15	82.24	83.20	88.57	85.35
 95.0	87.51	87.18	84.47	83.03	82.92	83.16	84.93	88.30
100.0	87.71	84.91	84.90	84.85	84.52	88.39	81.16	83.40
